SHEET:Guerreiro N1
1	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão
37	☑	ORI-11	2. Origem	Selecionar uma espécie disponível	A escolha salva id e nome canônicos e nenhuma espécie incompleta aparece.	Cap. 2, p. 37; Cap. 4	banco-especies.js; selecionarEspecie()	As quatro espécies atualmente ofertadas são selecionadas por id canônico.
38	◐	ORI-12	2. Origem	Aplicar tamanho da espécie	O tamanho correto ou a escolha entre tamanhos é salvo, exibido e utilizado pelas regras pertinentes.	Cap. 2, p. 37; Cap. 4	banco-especies.js: tamanho; renderizador-ficha.js	O tamanho é exibido, mas seus efeitos mecânicos e escolhas de tamanho ainda não existem.
39	◐	ORI-13	2. Origem	Aplicar deslocamento da espécie	O deslocamento correto é salvo, exibido e convertido para células de combate sem arredondamento indevido.	Cap. 2, p. 37; Cap. 4	banco-especies.js: velocidade; combate.js usa movimentoMaximo padrão	A ficha exibe a velocidade, mas o combate ainda usa 6 células por padrão sem conversão canônica.
40	☐	ORI-14	2. Origem	Implementar todos os traços da espécie	Traços passivos, escolhas, sentidos, resistências, magias e usos são dados estruturados e funcionam onde se aplicam.	Cap. 2, p. 37; Cap. 4	banco-especies.js contém somente nome, tamanho, velocidade e idiomas.	Faltam todos os traços mecânicos das espécies.
41	☑	ORI-15	2. Origem	Aplicar Comum e duas línguas padrão	O personagem conhece Comum e escolhe duas línguas padrão diferentes, salvo substituição explícita de uma característica.	Cap. 2, p. 37	personagem.idiomasBase; preencherSelectIdioma(); atualizarIdiomasEscolhidos()	Comum e duas línguas padrão diferentes são exigidos.
42	☑	ORI-16	2. Origem	Restringir línguas raras	Línguas raras só podem ser escolhidas quando uma característica concede essa possibilidade.	Cap. 2, p. 37	banco-idiomas.js: tipo; preencherSelectIdioma()	A seleção normal filtra idiomas raros.
43	☑	ORI-17	2. Origem	Combinar idiomas adicionais	Idiomas de classe, espécie, antecedente, talento ou habilidade são unidos sem duplicatas e com origem rastreável.	Cap. 2, p. 37	atualizarIdiomasPersonagem()	As listas por origem são unidas sem duplicatas e permanecem separadas no estado.
44	N/A	ORI-18	2. Origem	Oferecer bugiganga como opção não bloqueante	Se implementada, uma bugiganga gratuita pode ser escolhida ou sorteada; sua ausência não impede concluir o personagem.	Cap. 2, pp. 36 e 46-47	Bugiganga não foi incluída no recorte atual e é opcional.	Não bloqueia a conclusão.
45	☐	ATR-01	3. Atributos	Oferecer matriz padrão	A opção usa exatamente 15, 14, 13, 12, 10 e 8, cada valor uma vez.	Cap. 2, p. 38	A interface atual oferece somente rolagem.	Implementar Matriz Padrão 15, 14, 13, 12, 10 e 8.
46	☑	ATR-02	3. Atributos	Oferecer geração aleatória	Cada valor é 4d6 descartando o menor, repetido seis vezes, com resultados visíveis e não manipulados.	Cap. 2, p. 38	rolarD6(), resultadoAtributo(), dadosRolando()	Rola 4d6, descarta o menor e produz seis resultados visíveis.
47	☐	ATR-03	3. Atributos	Oferecer compra por pontos	São disponibilizados 27 pontos; valores de 8 a 15 usam os custos oficiais e não permitem saldo negativo.	Cap. 2, p. 38	Não há compra por pontos na interface atual.	Implementar 27 pontos e a tabela de custos.
48	☐	ATR-04	3. Atributos	Permitir escolher o método	O método permitido para o MVP é escolhido antes da distribuição e trocar de método limpa os dados incompatíveis.	Cap. 2, p. 38	criacao-personagem.html oferece apenas o botão Rolar Dados.	Criar seleção entre os três métodos e limpeza segura ao trocar.
49	☑	ATR-05	3. Atributos	Distribuir seis valores uma única vez	Força, Destreza, Constituição, Inteligência, Sabedoria e Carisma recebem exatamente um valor cada.	Cap. 2, p. 38	selecionarAtributo(), atualizarOpcoesDisponiveis(), atributosEstaoCompletos()	Cada resultado é usado uma vez e os seis atributos são obrigatórios.
50	N/A	ATR-06	3. Atributos	Sugerir distribuição da classe sem impor	A interface pode sugerir a matriz por classe, mas permite qualquer distribuição legal.	Cap. 2, p. 38	Sugestão automática de distribuição é opcional.	Pode ser acrescentada futuramente como melhoria de UX.
51	☑	ATR-07	3. Atributos	Aplicar bônus do antecedente depois da base	Atributos base e aumentos de antecedente permanecem separados no estado e geram o valor final correto.	Cap. 2, p. 38	atributosBase, bonusAtributosAntecedente, recalcularAtributosFinais()	Base, bônus e total são armazenados separadamente.
52	☑	ATR-08	3. Atributos	Calcular todos os modificadores	Cada modificador usa piso de (valor - 10) / 2 e é recalculado quando o valor muda.	Cap. 2, p. 38	calcularModificador(), renderizador-ficha.js	A fórmula usa Math.floor e é reaplicada ao atualizar a ficha.
53	◐	ATR-09	3. Atributos	Atualizar dependências de atributos	Salvaguardas, perícias, percepção passiva, PV, iniciativa, CA, ataques, dano e conjuração são recalculados.	Cap. 2, pp. 40-41	atualizarValoresDerivados(), atualizarNumerosMagiasPersonagem(), atualizarFichaPersonagem()	A maioria dos derivados recalcula; faltam efeitos de espécie, talentos e outras precedências.
54	☑	ATR-10	3. Atributos	Preservar atributos ao navegar	Avançar, voltar, abrir modal e cancelar não perde a distribuição confirmada.	Derivado do fluxo do Cap. 2	Estado personagem e prévias temporárias das modais em criacao-personagem.js	Navegação e cancelamento preservam escolhas confirmadas.
55	◐	DET-01	5. Detalhes	Registrar todas as características de nível 1	A ficha lista todas as características da classe e suas escolhas confirmadas.	Cap. 2, p. 40	renderizador-ficha.js e banco-habilidades.js exibem as habilidades do Guerreiro.	Nem todas produzem seu efeito mecânico.
56	☑	DET-02	5. Detalhes	Calcular salvaguardas proficientes	Modificador do atributo mais +2; salvaguardas não proficientes usam apenas o modificador.	Cap. 2, p. 40	calcularValorSalvaguarda(); renderizador-ficha.js: atualizarMarcadores()	Salvaguardas proficientes recebem +2 e as demais usam o modificador.
57	☑	DET-03	5. Detalhes	Calcular todas as perícias	Cada perícia usa o atributo correto, proficiência quando aplicável e especialização dobrando apenas o bônus de proficiência.	Cap. 2, p. 40	calcularValorPericia(); personagemTemEspecializacaoEmPericia()	Atributo, proficiência e especialização são calculados separadamente.
58	☑	DET-04	5. Detalhes	Calcular Percepção Passiva	O valor é 10 mais o modificador total de Sabedoria (Percepção), incluindo todos os modificadores aplicáveis.	Cap. 2, p. 40	calcularPercepcaoPassiva(); renderizador-ficha.js	Percepção passiva parte de 10 e usa o bônus total de Percepção.
59	☑	DET-05	5. Detalhes	Calcular PV máximos de nível 1	O máximo usa o valor cheio do Dado de Vida da classe mais o modificador de Constituição.	Cap. 2, p. 40	atualizarPontosDeVida()	PV máximo usa o Dado de Vida cheio mais Constituição.
60	☑	DET-06	5. Detalhes	Inicializar PV atuais e temporários	PV atuais começam no máximo, PV temporários em 0 e os campos são independentes.	Cap. 2, pp. 40-41	personagem.combate.pontosDeVida; atualizarPontosDeVida()	Atuais começam no máximo e temporários em zero.
61	☐	DET-07	5. Detalhes	Registrar salvaguardas contra morte	A ficha e o estado comportam três sucessos e três falhas, ainda que o fluxo de morte seja implementado em etapa posterior.	Cap. 2, p. 40	Não existe estado canônico para sucessos e falhas contra morte.	Criar estrutura e integração da ficha.
62	◐	DET-08	5. Detalhes	Registrar Dado de Vida	No nível 1 existe exatamente um Dado de Vida do tipo da classe, com máximo e quantidade gasta separados.	Cap. 2, p. 41	personagem.combate.pontosDeVida.dadoVida e dadosVidaUsados	O dado é salvo, mas gasto, descanso e recuperação ainda não estão completos.
63	◐	DET-09	5. Detalhes	Calcular iniciativa	A iniciativa base usa o modificador de Destreza e incorpora efeitos que alterem iniciativa.	Cap. 2, p. 41	atualizarIniciativa(); combate.js: iniciativa	Destreza funciona; Alerta e outros modificadores de iniciativa ainda não.
64	☑	DET-10	5. Detalhes	Calcular CA sem armadura	A CA base é 10 + Destreza quando nenhuma armadura, escudo ou fórmula alternativa é usada.	Cap. 2, p. 41	calcularClasseArmaduraCriacao(); calcularClasseArmadura()	A fórmula sem armadura usa 10 + Destreza.
65	◐	DET-11	5. Detalhes	Calcular CA com armadura e escudo	Armadura, limite de Destreza, escudo, proficiência e efeitos de classe produzem o valor correto sem empilhar fórmulas alternativas.	Cap. 2, p. 41; Cap. 6	calcularClasseArmaduraCriacao(); banco-equipamentos.js	Armadura e escudo funcionam para o conjunto atual; faltam todas as armaduras, limites e efeitos alternativos.
66	☑	DET-12	5. Detalhes	Cadastrar ataques iniciais	Todas as armas equipadas aparecem com nome, alcance, propriedades, maestria, bônus de ataque, dano e tipo.	Cap. 2, p. 41; Cap. 6	obterResumoArma(); criarAtaqueCombateArma(); renderizador-ficha.js	As armas equipadas atuais geram resumo e ataque de combate.
67	☑	DET-13	5. Detalhes	Calcular ataques corpo a corpo	Ataques corpo a corpo usam Força + proficiência, salvo propriedade ou característica que determine outro atributo.	Cap. 2, p. 41; Cap. 6	obterAtributoAtaqueDaArma(); calcularBonusAtaqueArma()	Ataques corpo a corpo usam o atributo e a proficiência adequados.
68	☑	DET-14	5. Detalhes	Calcular ataques à distância	Ataques à distância usam Destreza + proficiência e tratam alcance normal e longo corretamente.	Cap. 2, p. 41; Cap. 6	banco-equipamentos.js; calcularBonusAtaqueArma(); combate.js: validarSelecaoAcao()	Ataques à distância usam Destreza e validam alcance cadastrado.
69	◐	DET-15	5. Detalhes	Calcular dano das armas	O dano usa dado, tipo e mesmo atributo do ataque quando a regra manda, com exceções e estilos aplicados uma vez.	Cap. 2, p. 41; Cap. 6	calcularBonusDanoArma(); formatarDanoArma(); criarAtaqueCombateArma()	O dano básico e estilos atuais funcionam; faltam exceções e o conjunto completo de armas/maestrias.
70	◐	DET-16	5. Detalhes	Calcular CD de magia	CD = 8 + modificador do atributo de conjuração + bônus de proficiência, conforme a origem de cada magia.	Cap. 2, p. 41; Cap. 7	Fórmula de CD existe para origens mágicas.	Iniciado em Magia ainda não conclui suas escolhas e origem.
71	◐	DET-17	5. Detalhes	Calcular ataque mágico	Ataque mágico = modificador do atributo de conjuração + bônus de proficiência.	Cap. 2, p. 41; Cap. 7	Fórmula de ataque mágico existe para origens mágicas.	Iniciado em Magia ainda não conclui suas escolhas e origem.
72	☐	DET-18	5. Detalhes	Registrar espaços de magia	Total, gastos e nível dos espaços são separados e seguem a característica que concedeu conjuração.	Cap. 2, p. 41; Caps. 3, 5 e 7	Espaços concedidos por Iniciado em Magia não estão completos.	Implementar recurso e recuperação do talento.
73	☐	DET-19	5. Detalhes	Selecionar truques e magias preparadas	Quantidade, lista permitida, nível, duplicatas e origem são validados; escolhas persistem.	Cap. 2, p. 41; Caps. 3, 5 e 7	Iniciado em Magia declara escolha futura.	Criar seleção de truques e magia por origem.
74	☑	DET-20	5. Detalhes	Registrar nome	Nome é obrigatório para concluir, aparece na ficha e identifica o personagem sem ser usado como id técnico.	Cap. 2, p. 41	detalhesEstaoCompletos(); salvarPersonagemLocal()	Nome é obrigatório e id técnico é gerado separadamente.
75	☑	DET-21	5. Detalhes	Registrar aparência e avatar	Aparência textual, avatar e frame podem ser escolhidos, visualizados, salvos e usados como token.	Cap. 2, pp. 38 e 41	Modal de avatar; renderizador-ficha.js: preencherAvatar(); aventuras.js	Avatar e frame têm prévia, persistem e são reutilizados como token.
76	☑	DET-22	5. Detalhes	Registrar história e personalidade	Campos narrativos aceitam texto, preservam parágrafos e não exigem linguagem marcada por gênero.	Cap. 2, pp. 38-41	personagem.detalhes.historia e personalidade; revisão e PDF	Campos narrativos são opcionais e persistidos.
77	N/A	DET-23	5. Detalhes	Registrar detalhes finais opcionais	Gênero, vínculos, medo e objetivo podem ser registrados sem bloquear a criação quando omitidos.	Cap. 2, p. 41	Detalhes narrativos adicionais não fazem parte do recorte atual.	Não bloqueiam a criação.
78	◐	REG-01	Regras transversais	Estruturar toda regra como dado	Classe, espécie, antecedente, talento, habilidade, arma, maestria e magia possuem id, origem e dados mecânicos consultáveis.	Caps. 3-7	Bancos separados com ids; banco-efeitos.js e motor-efeitos.js	A arquitetura existe, mas várias entradas ainda são apenas descritivas ou não rastreiam origem.
79	◐	REG-02	Regras transversais	Implementar efeitos passivos	Bônus permanentes entram nos cálculos corretos, não exigem botão e não são aplicados duas vezes.	Caps. 3-7	Cálculos de proficiência, CA, ataques e estilos de luta	Alguns passivos funcionam; traços de espécie, talentos e magias ainda não.
80	◐	REG-03	Regras transversais	Implementar efeitos ativáveis	A opção só aparece quando legal e informa custo, alvo, alcance, efeito, duração, usos e recarga.	Caps. 3-7	banco-efeitos.js; interface-combate.js; Segundo Fôlego	Há ação ativável piloto, mas o contrato ainda não cobre todas as capacidades.
81	◐	REG-04	Regras transversais	Implementar economia de ações	Movimento, ação, ação bônus, reação e ação livre são consumidos e restaurados no momento correto.	Caps. 1 e 3-7	combate.js: movimentoRestante, acaoDisponivel, acaoBonusDisponivel	Movimento, ação e ação bônus funcionam; reação e ação livre ainda não estão completas.
82	◐	REG-05	Regras transversais	Implementar gatilhos	Efeitos que ocorrem ao acertar, causar dano, falhar, sofrer dano, iniciar ou terminar turno usam eventos genéricos.	Caps. 3-7	motor-efeitos.js: buscarEfeitosPorGatilho(), prepararEfeitosPorGatilho()	Gatilhos genéricos começaram com dano; falta cobrir todos os eventos necessários.
83	◐	REG-06	Regras transversais	Implementar alvos e alcance	Próprio, aliado, inimigo, objeto, ponto e áreas respeitam alcance, linha de efeito e estados válidos.	Caps. 3-7	combate.js: validarSelecaoAcao(), calcularDistancia(); grid em aventuras.js	Próprio e inimigo/alcance funcionam; aliados, objetos, pontos, linha e áreas ainda não.
84	☑	REG-07	Regras transversais	Implementar rolagens	Ataque, dano, cura, teste e salvaguarda aceitam múltiplos dados, modificadores, vantagem, desvantagem e rerrolagens.	Caps. 1 e 3-7	dados.js; testes.js; combate.js	Motor aceita grupos de dados, modificador, vantagem, desvantagem e rerrolagem.
85	◐	REG-08	Regras transversais	Implementar duração e encerramento	Efeitos por turno, rodada, minuto, descanso, concentração ou condição terminam exatamente no gatilho previsto.	Caps. 3-7	Recargas por turno e descanso modeladas em motor-efeitos.js	Não existe controlador geral de duração por rodada/minuto/concentração.
86	☐	REG-09	Regras transversais	Implementar concentração	Apenas um efeito de concentração permanece, dano solicita teste e perder concentração encerra o efeito.	Cap. 7	Não há controlador de concentração.	Implementar início, substituição, teste ao sofrer dano e encerramento.
87	☐	REG-10	Regras transversais	Implementar condições necessárias	Toda condição exigida por uma opção do MVP possui aplicação, efeitos, duração, remoção, ficha e narrativa.	Glossário de regras	Não existe banco/motor geral de condições.	Criar apenas as condições exigidas pelas opções do MVP.
88	◐	REG-11	Regras transversais	Resolver empilhamento e precedência	Bônus, fórmulas alternativas, resistências e efeitos iguais seguem regras explícitas de acumulação.	Caps. 1 e 3-7	Cálculos atuais evitam algumas duplicações e aplicam fórmulas específicas.	Falta política geral de empilhamento, resistência e precedência.
89	◐	REG-12	Regras transversais	Rastrear origem de capacidades	Magias e efeitos distinguem classe, espécie, antecedente, talento, item e outra origem para aplicar o atributo e recarga corretos.	Caps. 3-7	origem existe em banco-efeitos.js e listas separadas no personagem	A origem ainda não acompanha consistentemente magias e todas as capacidades.
90	☑	INT-01	Integração	Atualizar a ficha durante a criação	Cada confirmação atualiza somente as seções afetadas; cancelar restaura o estado anterior.	Fluxo do Cap. 2	renderizador-ficha.js; atualizarFichaPersonagem(); estados temporários das modais	A ficha compartilhada atualiza por seção e as prévias podem ser canceladas.
91	◐	INT-02	Integração	Bloquear conclusão incompleta	A criação informa todos os campos e escolhas pendentes e não salva um personagem mecanicamente inválido.	Fluxo do Cap. 2	podeAvancarDoPassoAtual(), detalhesEstaoCompletos(), magiasEstaoEscolhidas()	Há bloqueios por etapa, mas opções incompletas ainda podem ser ofertadas e o salvamento não valida o contrato inteiro.
92	◐	INT-03	Integração	Salvar formato canônico	O localStorage recebe uma cópia completa e versionada, sem referências DOM, valores apenas visuais ou campos derivados conflitantes.	Aplicação	salvarPersonagemLocal() usa structuredClone e localStorage	O objeto é completo, mas não possui schemaVersion nem migração.
93	☑	INT-04	Integração	Reabrir personagem sem perda	A ficha salva reproduz exatamente escolhas, números, recursos, avatar, equipamento, talentos, habilidades e magias.	Aplicação	ver-personagem.js; meus-personagens.js; renderizador-ficha.js	Personagens salvos são encontrados por id e renderizados pela ficha compartilhada.
94	◐	INT-05	Integração	Gerar PDF consistente	Campos aplicáveis do PDF recebem os mesmos valores da ficha; ausências são deliberadas e documentadas.	Ficha das pp. 34-35	ver-personagem.js: baixarPdfFichaEditavel() e funções preencher*Pdf	A exportação cobre muitos campos; ainda há lacunas de regras e dados não implementados.
95	◐	INT-06	Integração	Converter para participante de combate	A conversão preserva id, nome, representação, PV, CA, movimento, ataques, recursos, efeitos, talentos, habilidades e magias.	Aplicação	aventuras.js: criarParticipanteJogadorCombate()	PV, CA, ataques, avatar, talentos e habilidades chegam ao combate; movimento e capacidades incompletas ainda divergem.
96	◐	INT-07	Integração	Não duplicar fontes de verdade	Ficha, participante e PDF são projeções do personagem canônico; nenhuma página mantém uma regra concorrente.	Aplicação	ficha-personagem.html + renderizador-ficha.js centralizam a apresentação	Ainda há cálculos repetidos entre criação, visualização/PDF e combate.
97	☐	INT-08	Integração	Persistir consumo de recursos	Gastos de PV, Dados de Vida, espaços, usos e efeitos relevantes retornam ao personagem salvo quando a aventura permitir.	Aplicação	O combate altera a cópia em estadoAtualJogo e não grava os recursos no personagem salvo.	Criar sincronização deliberada ao fim/pausa da aventura.
98	◐	INT-09	Integração	Exibir ações legais no combate	A interface mostra apenas opções disponíveis; opções indisponíveis explicam alcance, recurso ou economia de ação faltante.	Aplicação	interface-combate.js e aventuras.js renderizam ações e indisponibilidade por alcance	Ataques e Segundo Fôlego funcionam; faltam todas as ações e explicações do MVP.
99	◐	INT-10	Integração	Manter explicações acessíveis	Habilidades, talentos, traços, propriedades, maestrias e magias abrem uma explicação consistente em todas as instâncias da ficha.	Aplicação	Modal de detalhe e renderizador-ficha.js	Habilidades, talentos e maestrias têm explicações em algumas páginas, mas não de forma uniforme para espécies, propriedades e magias.
